1	394 
2	233 
3	483 
4	91 
5	515 
6	481 
7	441 
8	335 
9	201 
10	128 
11	220 
12	382 
13	80 
14	177 
15	202 
16	164 
17	57 
18	313 
19	260 
20	569 
21	310 
22	336 
23	466 
24	177 
25	268 
26	28 
27	515 
28	198 
29	382 
30	439 
31	102 
32	569 
33	141 
34	173 
35	44 
36	237 
37	212 
38	441 
39	514 
40	439 
41	209 
42	331 
43	569 
44	288 
45	520 
46	75 
47	308 
48	195 
49	229 
50	486 
51	379 
52	332 
53	182 
54	85 
55	477 
56	313 
57	75 
58	531 
59	269 
60	204 
61	239 
62	177 
63	236 
64	125 
65	333 
66	462 
67	314 
68	336 
69	259 
70	552 
71	554 
72	372 
73	102 
74	179 
75	325 
76	460 
77	482 
78	439 
79	15 
80	440 
81	330 
82	492 
83	439 
84	202 
85	267 
86	77 
87	75 
88	247 
89	525 
90	333 
91	514 
92	94 
93	96 
94	460 
95	491 
96	520 
97	4 
98	435 
99	211 
100	481 
101	178 
102	47 
103	46 
104	492 
105	314 
106	552 
107	56 
108	406 
109	483 
110	502 
111	182 
112	204 
113	439 
114	311 
115	79 
116	362 
117	204 
118	309 
119	487 
120	93 
121	281 
122	276 
123	341 
124	28 
125	542 
126	314 
127	261 
128	508 
129	367 
130	344 
131	344 
132	458 
133	365 
134	214 
135	382 
136	97 
137	373 
138	445 
139	198 
140	226 
141	380 
142	336 
143	345 
144	80 
145	136 
146	20 
147	521 
148	517 
149	57 
150	371 
151	557 
152	404 
153	212 
154	179 
155	184 
156	454 
157	147 
158	458 
159	198 
160	382 
161	482 
162	44 
163	444 
164	311 
165	343 
166	294 
167	201 
168	173 
169	410 
170	468 
171	332 
172	220 
173	229 
174	239 
175	300 
176	525 
177	519 
178	410 
179	132 
180	230 
181	380 
182	365 
183	525 
184	383 
185	98 
186	343 
187	109 
188	96 
189	81 
190	460 
191	202 
192	379 
193	158 
194	43 
195	80 
196	483 
197	51 
198	344 
199	483 
200	382 
201	561 
202	441 
203	72 
204	389 
205	425 
206	365 
207	177 
208	164 
209	335 
210	242 
211	1 
212	292 
213	96 
214	48 
215	320 
216	441 
217	290 
218	405 
219	525 
220	155 
221	397 
222	276 
223	311 
224	141 
225	100 
226	519 
227	31 
228	410 
229	178 
230	389 
231	83 
232	487 
233	43 
234	333 
235	198 
236	80 
237	487 
238	535 
239	477 
240	141 
241	74 
242	468 
243	459 
244	451 
245	80 
246	31 
247	480 
248	186 
249	440 
250	313 
251	552 
252	357 
253	313 
254	281 
255	93 
256	147 
257	513 
258	139 
259	268 
260	308 
261	282 
262	434 
263	84 
264	42 
265	237 
266	554 
267	495 
268	152 
269	321 
270	74 
271	276 
272	84 
273	402 
274	147 
275	325 
276	482 
277	198 
278	64 
279	179 
280	382 
281	490 
282	473 
283	547 
284	20 
285	211 
286	186 
287	335 
288	483 
289	371 
290	492 
291	525 
292	481 
293	75 
294	167 
295	409 
296	323 
297	96 
298	341 
299	379 
300	41 
301	477 
302	481 
303	241 
304	294 
305	214 
306	343 
307	520 
308	308 
309	186 
310	259 
311	460 
312	460 
313	526 
314	9 
315	293 
316	444 
317	311 
318	134 
319	204 
320	406 
321	439 
322	158 
323	195 
324	333 
325	269 
326	147 
327	309 
328	413 
329	214 
330	231 
331	444 
332	357 
333	81 
334	230 
335	90 
336	229 
337	405 
338	365 
339	179 
340	292 
341	227 
342	343 
343	508 
344	380 
345	177 
346	9 
347	65 
348	184 
349	255 
350	538 
351	152 
352	541 
353	550 
354	238 
355	80 
356	275 
357	242 
358	242 
359	425 
360	515 
361	441 
362	96 
363	468 
364	231 
365	80 
366	246 
367	155 
368	23 
369	268 
370	382 
371	136 
372	5 
373	2 
374	281 
375	380 
376	163 
377	480 
378	538 
379	304 
380	394 
381	435 
382	504 
383	27 
384	515 
385	483 
386	357 
387	365 
388	139 
389	49 
390	208 
391	179 
392	458 
393	145 
394	314 
395	75 
396	473 
397	359 
398	151 
399	389 
400	202 
401	517 
402	93 
403	343 
404	2 
405	316 
406	275 
407	247 
408	343 
409	549 
410	478 
